LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1715671051.407011,2406076.500,693,2,AK,1,100,65381
1715671054.077509,2408624.000,693,2,AK,1,100,RD
1715671054.102667,2408648.000,696,2,AK,1,100,694
1715671054.127826,2408672.000,696,2,AK,1,100,RD
1715671056.777883,2411200.000,1546,2,AK,1,100,694
1715671059.427939,2413728.000,1546,2,AK,1,100,RD
1715671059.438946,2413738.500,1548,2,AK,1,100,1545
1715671059.449953,2413749.000,1548,2,AK,1,100,RD
1715671062.133554,2416309.000,2405,2,AK,1,100,1545
1715671064.817156,2418869.000,2405,2,AK,1,100,RD
1715671064.830784,2418882.000,2408,2,AK,1,100,2406
1715671064.844411,2418895.000,2408,2,AK,1,100,RD
1715671067.515958,2421443.500,3268,2,AK,1,100,2406
1715671070.187504,2423992.000,3268,2,AK,1,100,RD
1715671070.201656,2424005.500,3271,2,AK,1,100,3269
1715671070.215807,2424019.000,3271,2,AK,1,100,RD
1715671072.884209,2426564.500,4130,2,AK,1,100,3269
1715671075.552610,2429110.000,4130,2,AK,1,100,RD
1715671075.569907,2429126.500,4133,2,AK,1,100,4131
1715671075.587204,2429143.000,4133,2,AK,1,100,RD
1715671078.261370,2431694.000,4994,2,AK,1,100,4131
1715671080.935537,2434245.000,4994,2,AK,1,100,RD
1715671080.949689,2434258.500,4997,2,AK,1,100,4995
1715671080.963841,2434272.000,4997,2,AK,1,100,RD
1715671083.649015,2436833.500,5857,2,AK,1,100,4995
1715671086.334189,2439395.000,5857,2,AK,1,100,RD
1715671089.053956,2441989.500,6720,2,AK,1,100,5858
1715671091.773723,2444584.000,6720,2,AK,1,100,RD
1715671091.780013,2444590.000,6722,2,AK,1,100,5858
1715671091.786303,2444596.000,6722,2,AK,1,100,RD
1715671091.799930,2444609.000,6725,2,AK,1,100,6723
1715671091.813558,2444622.000,6725,2,AK,1,100,RD
1715671094.469904,2447156.000,7568,2,AK,1,100,6723
1715671097.126250,2449690.000,7568,2,AK,1,100,RD
1715671097.139878,2449703.000,7571,2,AK,1,100,7569
1715671097.153506,2449716.000,7571,2,AK,1,100,RD
1715671099.817190,2452257.000,8434,2,AK,1,100,7569
1715671102.480874,2454798.000,8434,2,AK,1,100,RD
1715671102.496598,2454813.000,8437,2,AK,1,100,8435
1715671102.512322,2454828.000,8437,2,AK,1,100,RD
1715671105.176530,2457369.500,9297,2,AK,1,100,8435
1715671107.840739,2459911.000,9297,2,AK,1,100,RD
