LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1715672244.964449,3544661,56465,4,TX,1,100,487679.1493954,2233003.4566592,
1715672246.246498,3545884,56670,4,TX,1,100,487680.4491961,2233004.7564438,
1715672246.881757,3546490,56772,4,TX,1,100,487680.9827276,2233005.2899753,
1715672247.528547,3547107,56876,4,TX,1,100,487681.6992993,2233006.0065136,
1715672248.057929,3547612,56949,4,TX,1,100,487682.2331335,2233006.5403478,
1715672248.709960,3548234,57054,4,TX,1,100,487682.9659593,2233007.2731736,
1715672249.244584,3548744,57139,4,TX,1,100,487683.4998351,2233007.8070473,
1715672250.098934,3549559,57275,4,TX,1,100,487684.2995507,2233008.6067629,
1715672250.563323,3550002,57344,4,TX,1,100,487684.7993353,2233009.1065475,
1715672251.402997,3550803,57483,4,TX,1,100,487685.5993866,2233009.9065754,
1715672252.668273,3552010,57686,4,TX,1,100,487686.8827563,2233011.1899451,
1715672253.198703,3552516,57772,4,TX,1,100,487687.4330699,2233011.7402696,
1715672253.879038,3553165,57863,4,TX,1,100,487688.1326127,2233012.4398124,
1715672254.500669,3553758,57966,4,TX,1,100,487688.6660446,2233012.9732443,
1715672255.235515,3554459,58087,4,TX,1,100,487689.4661351,2233013.7733250,
1715672255.765945,3554965,58172,4,TX,1,100,487689.9998800,2233014.3070699,
1715672256.497646,3555663,58294,4,TX,1,100,487690.7160406,2233015.0232305,
1715672257.159112,3556294,58395,4,TX,1,100,487691.2494276,2233015.5566175,
1715672257.791226,3556897,58499,4,TX,1,100,487691.9993448,2233016.3065216,
1715672258.340526,3557421,58585,4,TX,1,100,487692.4998771,2233016.8070539,
1715672258.976833,3558028,58675,4,TX,1,100,487693.2329021,2233017.5400788,
1715672260.353227,3559341,58894,4,TX,1,100,487694.5993153,2233018.9064782,
1715672261.727524,3560652,59115,4,TX,1,100,487695.8828655,2233020.1900061,
1715672262.247472,3561148,59202,4,TX,1,100,487696.4169804,2233020.7241211,
1715672263.044166,3561908,59322,4,TX,1,100,487697.1829070,2233021.4900477,
1715672263.464527,3562309,59391,4,TX,1,100,487697.6828450,2233021.9899878,
1715672264.310491,3563116,59501,4,TX,1,100,487698.3995370,2233022.7066798,
1715672264.776976,3563561,59570,4,TX,1,100,487698.9498302,2233023.2569730,
1715672265.495049,3564246,59690,4,TX,1,100,487699.6996692,2233024.0068013,
1715672266.868298,3565556,59910,4,TX,1,100,487701.0168228,2233025.3239549,
1715672267.337929,3566004,59983,4,TX,1,100,487701.5328680,2233025.8400015,
1715672268.079064,3566711,60101,4,TX,1,100,487702.3327658,2233026.6398993,
1715672269.503679,3568070,60310,4,TX,1,100,487703.5829428,2233027.8900553,
1715672270.706058,3569217,60496,4,TX,1,100,487704.8999260,2233029.2070386,
1715672271.141095,3569632,60568,4,TX,1,100,487705.3996892,2233029.7068018,
1715672272.408468,3570841,60771,4,TX,1,100,487706.1327799,2233030.4398932,
1715672272.536358,3570963,60791,4,TX,1,100,487706.7045461,2233031.0116594,
