LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1715671645.636571,2972937.000,28563,2,RD,1,100,TU
1715671648.310214,2975487.500,29405,2,RD,1,100,TL
1715671650.983856,2978038.000,29405,2,RD,1,100,TU
1715671653.666934,2980597.500,30268,2,RD,1,100,TL
1715671656.350011,2983157.000,30268,2,RD,1,100,TU
1715671659.027323,2985711.000,31135,2,RD,1,100,TL
1715671661.704635,2988265.000,31135,2,RD,1,100,TU
1715671664.395574,2990832.000,31982,2,RD,1,100,TL
1715671667.086514,2993399.000,31982,2,RD,1,100,TU
1715671669.769591,2995958.500,32844,2,RD,1,100,TL
1715671672.452668,2998518.000,32844,2,RD,1,100,TU
1715671675.150421,3001091.500,33695,2,RD,1,100,TL
1715671677.848175,3003665.000,33695,2,RD,1,100,TU
1715671680.550121,3006242.500,34557,2,RD,1,100,TL
1715671683.252068,3008820.000,34557,2,RD,1,100,TU
1715671685.958731,3011402.000,35406,2,RD,1,100,TL
1715671688.665395,3013984.000,35406,2,RD,1,100,TU
1715671691.419231,3016611.000,36239,2,RD,1,100,TL
1715671694.173068,3019238.000,36239,2,RD,1,100,TU
1715671696.837800,3021780.000,37075,2,RD,1,100,TL
1715671699.502532,3024322.000,37075,2,RD,1,100,TU
1715671702.198713,3026894.000,37939,2,RD,1,100,TL
1715671704.894894,3029466.000,37939,2,RD,1,100,TU
1715671707.607323,3032053.500,38798,2,RD,1,100,TL
1715671710.319752,3034641.000,38798,2,RD,1,100,TU
1715671713.032706,3037229.000,39646,2,RD,1,100,TL
1715671715.745659,3039817.000,39646,2,RD,1,100,TU
1715671718.434502,3042382.000,40493,2,RD,1,100,TL
1715671721.123345,3044947.000,40493,2,RD,1,100,TU
1715671723.802229,3047502.500,41310,2,RD,1,100,TL
1715671726.481113,3050058.000,41310,2,RD,1,100,TU
1715671729.159474,3052613.000,42111,2,RD,1,100,TL
1715671731.837834,3055168.000,42111,2,RD,1,100,TU
1715671734.570704,3057775.000,42944,2,RD,1,100,TL
1715671737.303575,3060382.000,42944,2,RD,1,100,TU
1715671739.994514,3062949.000,43666,2,RD,1,100,TL
1715671742.685454,3065516.000,43666,2,RD,1,100,TU
1715671745.431428,3068135.500,44526,2,RD,1,100,TL
1715671748.177402,3070755.000,44526,2,RD,1,100,TU
1715671750.880921,3073334.000,45375,2,RD,1,100,TL
1715671753.584440,3075913.000,45375,2,RD,1,100,TU
1715671756.284814,3078489.000,46206,2,RD,1,100,TL
1715671758.985188,3081065.000,46206,2,RD,1,100,TU
1715671761.696569,3083651.500,47021,2,RD,1,100,TL
1715671764.407950,3086238.000,47021,2,RD,1,100,TU
1715671767.085786,3088792.500,47832,2,RD,1,100,TL
1715671769.763622,3091347.000,47832,2,RD,1,100,TU
1715671772.466092,3093925.000,48557,2,RD,1,100,TL
1715671775.168563,3096503.000,48557,2,RD,1,100,TU
1715671777.879944,3099089.500,49417,2,RD,1,100,TL
1715671780.591325,3101676.000,49417,2,RD,1,100,TU
1715671783.269161,3104230.500,50255,2,RD,1,100,TL
