LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1715671025.485622,2381349,61713,1,HR,1,100,58
1715671026.496166,2382313,61885,1,HR,1,100,58
1715671027.320115,2383099,62008,1,HR,1,100,61
1715671028.109471,2383852,62135,1,HR,1,100,65
1715671029.159850,2384854,62304,1,HR,1,100,63
1715671030.285704,2385928,62478,1,HR,1,100,61
1715671031.328745,2386923,62633,1,HR,1,100,60
1715671032.469275,2388011,62823,1,HR,1,100,59
1715671033.496592,2388991,62984,1,HR,1,100,59
1715671034.478832,2389928,63139,1,HR,1,100,59
1715671035.614121,2391011,63308,1,HR,1,100,58
1715671036.648775,2391998,63480,1,HR,1,100,58
1715671037.659319,2392962,63634,1,HR,1,100,58
1715671038.792511,2394043,63813,1,HR,1,100,57
1715671040.013760,2395208,64002,1,HR,1,100,55
1715671041.083007,2396228,64172,1,HR,1,100,56
1715671042.209910,2397303,64360,1,HR,1,100,55
1715671043.298027,2398341,64540,1,HR,1,100,55
1715671044.367274,2399361,64696,1,HR,1,100,56
1715671045.455391,2400399,64865,1,HR,1,100,56
1715671046.551893,2401445,65037,1,HR,1,100,55
1715671047.605417,2402450,65209,1,HR,1,100,56
1715671048.682002,2403477,65385,1,HR,1,100,56
1715671049.713511,2404461,65526,1,HR,1,100,57
1715671050.669544,2405373,143,1,HR,1,100,58
1715671051.704199,2406360,315,1,HR,1,100,58
1715671052.727322,2407336,485,1,HR,1,100,58
1715671053.808100,2408367,659,1,HR,1,100,58
1715671054.880492,2409390,821,1,HR,1,100,57
1715671055.913050,2410375,976,1,HR,1,100,58
1715671056.987539,2411400,1163,1,HR,1,100,57
1715671058.102911,2412464,1337,1,HR,1,100,56
1715671059.124986,2413439,1506,1,HR,1,100,57
1715671060.236164,2414499,1683,1,HR,1,100,56
1715671061.302267,2415516,1855,1,HR,1,100,56
1715671062.301280,2416469,2011,1,HR,1,100,57
1715671063.450197,2417565,2182,1,HR,1,100,56
1715671064.399940,2418471,2338,1,HR,1,100,58
1715671065.433546,2419457,2512,1,HR,1,100,58
1715671066.367565,2420348,2669,1,HR,1,100,59
1715671067.429474,2421361,2837,1,HR,1,100,59
1715671068.545894,2422426,3012,1,HR,1,100,58
1715671069.577404,2423410,3184,1,HR,1,100,58
1715671070.736804,2424516,3362,1,HR,1,100,57
1715671071.829113,2425558,3528,1,HR,1,100,56
1715671072.938195,2426616,3719,1,HR,1,100,56
1715671074.056712,2427683,3892,1,HR,1,100,55
1715671075.117573,2428695,4061,1,HR,1,100,56
1715671076.173193,2429702,4238,1,HR,1,100,56
1715671077.216233,2430697,4407,1,HR,1,100,56
1715671078.291770,2431723,4582,1,HR,1,100,56
1715671079.452219,2432830,4754,1,HR,1,100,55
1715671080.528804,2433857,4927,1,HR,1,100,56
1715671081.639983,2434917,5120,1,HR,1,100,55
1715671082.735437,2435962,5294,1,HR,1,100,55
1715671083.738643,2436919,5449,1,HR,1,100,56
1715671084.856111,2437985,5618,1,HR,1,100,56
1715671085.919069,2438999,5790,1,HR,1,100,56
1715671086.906551,2439941,5948,1,HR,1,100,57
1715671087.970557,2440956,6123,1,HR,1,100,57
1715671088.983197,2441922,6276,1,HR,1,100,58
1715671089.953906,2442848,6427,1,HR,1,100,59
1715671091.052505,2443896,6617,1,HR,1,100,58
1715671092.027407,2444826,6765,1,HR,1,100,59
1715671093.051579,2445803,6936,1,HR,1,100,59
1715671094.181627,2446881,7108,1,HR,1,100,58
1715671095.201605,2447854,7263,1,HR,1,100,58
1715671096.279238,2448882,7432,1,HR,1,100,57
1715671097.371548,2449924,7610,1,HR,1,100,57
1715671098.389430,2450895,7784,1,HR,1,100,57
1715671099.444001,2451901,7953,1,HR,1,100,57
1715671100.531070,2452938,8125,1,HR,1,100,57
1715671101.529034,2453890,8278,1,HR,1,100,58
1715671102.557398,2454871,8455,1,HR,1,100,58
1715671103.641322,2455905,8630,1,HR,1,100,57
1715671104.587920,2456808,8783,1,HR,1,100,59
1715671105.698051,2457867,8956,1,HR,1,100,58
1715671106.785119,2458904,9128,1,HR,1,100,57
1715671107.740104,2459815,9302,1,HR,1,100,58
1715671108.772661,2460800,9460,1,HR,1,100,59
1715671109.783205,2461764,9612,1,HR,1,100,59
1715671110.763348,2462699,9784,1,HR,1,100,59
1715671111.826306,2463713,9953,1,HR,1,100,59
1715671112.935388,2464771,10128,1,HR,1,100,58
1715671114.016167,2465802,10305,1,HR,1,100,57
1715671115.145166,2466879,10476,1,HR,1,100,56
1715671116.221752,2467906,10648,1,HR,1,100,56
1715671117.244875,2468882,10818,1,HR,1,100,57
1715671118.366536,2469952,10992,1,HR,1,100,56
1715671119.445219,2470981,11183,1,HR,1,100,56
1715671120.394962,2471887,11322,1,HR,1,100,58
1715671121.347850,2472796,11475,1,HR,1,100,59
1715671122.149786,2473561,11614,1,HR,1,100,63
1715671122.950673,2474325,11738,1,HR,1,100,66
1715671123.663505,2475005,11840,1,HR,1,100,70
1715671124.480116,2475784,11968,1,HR,1,100,71
1715671125.396314,2476658,12123,1,HR,1,100,70
1715671126.248568,2477471,12244,1,HR,1,100,70
1715671127.302091,2478476,12417,1,HR,1,100,67
1715671128.377628,2479502,12588,1,HR,1,100,65
1715671129.307454,2480389,12745,1,HR,1,100,65
1715671130.395571,2481427,12900,1,HR,1,100,63
1715671131.419742,2482404,13069,1,HR,1,100,62
1715671132.413513,2483352,13224,1,HR,1,100,62
1715671133.511064,2484399,13395,1,HR,1,100,60
1715671134.586601,2485425,13568,1,HR,1,100,59
1715671135.630690,2486421,13743,1,HR,1,100,59
1715671136.784848,2487522,13929,1,HR,1,100,57
1715671137.804826,2488495,14084,1,HR,1,100,58
1715671138.843674,2489486,14258,1,HR,1,100,58
1715671139.918163,2490511,14428,1,HR,1,100,58
1715671140.934996,2491481,14574,1,HR,1,100,58
1715671141.946588,2492446,14746,1,HR,1,100,58
1715671143.073491,2493521,14934,1,HR,1,100,57
1715671144.043152,2494446,15089,1,HR,1,100,58
1715671145.097723,2495452,15258,1,HR,1,100,58
1715671146.212047,2496515,15436,1,HR,1,100,57
1715671147.210011,2497467,15594,1,HR,1,100,58
1715671148.233134,2498443,15765,1,HR,1,100,58
1715671149.338023,2499497,15937,1,HR,1,100,57
1715671150.335987,2500449,16108,1,HR,1,100,58
1715671151.413621,2501477,16266,1,HR,1,100,58
1715671152.512220,2502525,16456,1,HR,1,100,57
1715671153.481881,2503450,16609,1,HR,1,100,58
1715671154.502908,2504424,16762,1,HR,1,100,58
1715671155.561672,2505434,16935,1,HR,1,100,58
