LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1715670611.214079,1986158.000,62617,4,EM,1,100,PS
1715670611.266755,1986208.250,62650,4,EM,1,100,RS
1715670611.319431,1986258.500,62650,4,EM,1,100,RB
1715670611.372107,1986308.750,62650,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670611.424783,1986359.000,62650,4,EM,1,100,PS
1715670611.477460,1986409.250,62684,4,EM,1,100,RS
1715670611.530136,1986459.500,62684,4,EM,1,100,RB
1715670611.582812,1986509.750,62684,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670611.635488,1986560.000,62684,4,EM,1,100,PS
1715670611.688164,1986610.250,62717,4,EM,1,100,RS
1715670611.740840,1986660.500,62717,4,EM,1,100,RB
1715670611.793517,1986710.750,62717,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670611.846193,1986761.000,62717,4,EM,1,100,PS
1715670611.898869,1986811.250,62749,4,EM,1,100,RS
1715670611.951545,1986861.500,62749,4,EM,1,100,RB
1715670612.004221,1986911.750,62749,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670612.056897,1986962.000,62749,4,EM,1,100,PS
1715670612.109574,1987012.250,62783,4,EM,1,100,RS
1715670612.162250,1987062.500,62783,4,EM,1,100,RB
1715670612.214926,1987112.750,62783,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670612.267602,1987163.000,62783,4,EM,1,100,PS
1715670612.320278,1987213.250,62817,4,EM,1,100,RS
1715670612.372954,1987263.500,62817,4,EM,1,100,RB
1715670612.425631,1987313.750,62817,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670612.478307,1987364.000,62817,4,EM,1,100,PS
1715670612.543038,1987425.750,62851,4,EM,1,100,RS
1715670612.607769,1987487.500,62851,4,EM,1,100,RB
1715670612.672501,1987549.250,62851,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670612.737232,1987611.000,62851,4,EM,1,100,PS
1715670612.789908,1987661.250,62885,4,EM,1,100,RS
1715670612.842585,1987711.500,62885,4,EM,1,100,RB
1715670612.895261,1987761.750,62885,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670612.947937,1987812.000,62885,4,EM,1,100,PS
1715670613.021055,1987881.750,62918,4,EM,1,100,RS
1715670613.094172,1987951.500,62918,4,EM,1,100,RB
1715670613.167290,1988021.250,62918,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670613.240407,1988091.000,62918,4,EM,1,100,PS
1715670613.293084,1988141.250,62954,4,EM,1,100,RS
1715670613.345760,1988191.500,62954,4,EM,1,100,RB
1715670613.398436,1988241.750,62954,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670613.451112,1988292.000,62954,4,EM,1,100,PS
1715670613.503788,1988342.250,62985,4,EM,1,100,RS
1715670613.556464,1988392.500,62985,4,EM,1,100,RB
1715670613.609141,1988442.750,62985,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670613.661817,1988493.000,62985,4,EM,1,100,PS
1715670613.714493,1988543.250,63021,4,EM,1,100,RS
1715670613.767169,1988593.500,63021,4,EM,1,100,RB
1715670613.819845,1988643.750,63021,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670613.872521,1988694.000,63021,4,EM,1,100,PS
1715670613.925198,1988744.250,63052,4,EM,1,100,RS
1715670613.977874,1988794.500,63052,4,EM,1,100,RB
1715670614.030550,1988844.750,63052,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670614.083226,1988895.000,63052,4,EM,1,100,PS
1715670614.135902,1988945.250,63086,4,EM,1,100,RS
1715670614.188578,1988995.500,63086,4,EM,1,100,RB
1715670614.241255,1989045.750,63086,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670614.293931,1989096.000,63086,4,EM,1,100,PS
1715670614.346607,1989146.250,63121,4,EM,1,100,RS
1715670614.399283,1989196.500,63121,4,EM,1,100,RB
1715670614.451959,1989246.750,63121,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670614.504635,1989297.000,63121,4,EM,1,100,PS
1715670614.557312,1989347.250,63153,4,EM,1,100,RS
1715670614.609988,1989397.500,63153,4,EM,1,100,RB
1715670614.662664,1989447.750,63153,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670614.715340,1989498.000,63153,4,EM,1,100,PS
1715670614.768016,1989548.250,63187,4,EM,1,100,RS
1715670614.820692,1989598.500,63187,4,EM,1,100,RB
1715670614.873369,1989648.750,63187,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670614.926045,1989699.000,63187,4,EM,1,100,PS
1715670614.979245,1989749.750,63220,4,EM,1,100,RS
1715670615.032445,1989800.500,63220,4,EM,1,100,RB
1715670615.085646,1989851.250,63220,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670615.138846,1989902.000,63220,4,EM,1,100,PS
1715670615.202005,1989962.250,63253,4,EM,1,100,RS
1715670615.265164,1990022.500,63253,4,EM,1,100,RB
1715670615.328323,1990082.750,63253,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670615.391482,1990143.000,63253,4,EM,1,100,PS
1715670615.444158,1990193.250,63289,4,EM,1,100,RS
