LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1715670753.605344,2121991,19252,1,BI,1,100,1090
1715670754.727005,2123061,19425,1,BI,1,100,1120
1715670755.841329,2124124,19599,1,BI,1,100,1100
1715670756.915818,2125149,19771,1,BI,1,100,1070
1715670758.047962,2126229,19962,1,BI,1,100,1130
1715670759.092051,2127225,20116,1,BI,1,100,1030
1715670760.157105,2128241,20291,1,BI,1,100,1070
1715670761.271429,2129304,20478,1,BI,1,100,1110
1715670762.379463,2130361,20650,1,BI,1,100,1090
1715670763.468628,2131400,20829,1,BI,1,100,1090
1715670764.641655,2132519,21018,1,BI,1,100,1160
1715670765.731868,2133559,21187,1,BI,1,100,1090
1715670766.896509,2134670,21377,1,BI,1,100,1160
1715670768.013978,2135736,21565,1,BI,1,100,1110
1715670769.062259,2136736,21724,1,BI,1,100,1040
1715670770.189162,2137811,21897,1,BI,1,100,1120
1715670771.307679,2138878,22085,1,BI,1,100,1110
1715670772.373782,2139895,22257,1,BI,1,100,1060
1715670773.504878,2140974,22429,1,BI,1,100,1130
1715670774.589850,2142009,22608,1,BI,1,100,1080
1715670775.691594,2143060,22777,1,BI,1,100,1090
1715670776.840511,2144156,22952,1,BI,1,100,1140
1715670777.880406,2145148,23105,1,BI,1,100,1040
1715670778.973764,2146191,23295,1,BI,1,100,1080
1715670780.112198,2147277,23473,1,BI,1,100,1140
1715670781.156287,2148273,23642,1,BI,1,100,1040
1715670782.247548,2149314,23814,1,BI,1,100,1080
1715670783.372355,2150387,23986,1,BI,1,100,1120
1715670784.419588,2151386,24160,1,BI,1,100,1040
1715670785.499319,2152416,24321,1,BI,1,100,1070
1715670786.627270,2153492,24509,1,BI,1,100,1130
1715670787.638862,2154457,24659,1,BI,1,100,1000
1715670788.674564,2155445,24830,1,BI,1,100,1040
1715670789.750101,2156471,25007,1,BI,1,100,1070
1715670790.729197,2157405,25150,1,BI,1,100,970
1715670791.764899,2158393,25323,1,BI,1,100,1030
1715670792.862450,2159440,25495,1,BI,1,100,1090
1715670793.858318,2160390,25646,1,BI,1,100,990
1715670795.031345,2161509,25835,1,BI,1,100,1170
1715670795.779819,2162223,25961,1,BI,1,100,740
1715670796.576513,2162983,26096,1,BI,1,100,800
1715670797.535691,2163898,26236,1,BI,1,100,950
1715670798.684607,2164994,26426,1,BI,1,100,1150
1715670800.037939,2166285,26648,1,BI,1,100,1340
1715670800.735047,2166950,26752,1,BI,1,100,690
1715670801.347243,2167534,26845,1,BI,1,100,610
1715670802.131358,2168282,26965,1,BI,1,100,780
1715670803.123033,2169228,27137,1,BI,1,100,990
1715670804.187039,2170243,27305,1,BI,1,100,1060
1715670805.365308,2171367,27493,1,BI,1,100,1170
1715670806.461810,2172413,27655,1,BI,1,100,1090
1715670807.543637,2173445,27807,1,BI,1,100,1070
1715670808.649575,2174500,27997,1,BI,1,100,1110
1715670809.772284,2175571,28171,1,BI,1,100,1120
1715670810.836290,2176586,28340,1,BI,1,100,1050
1715670811.952710,2177651,28514,1,BI,1,100,1120
1715670812.970592,2178622,28670,1,BI,1,100,1010
1715670814.063950,2179665,28861,1,BI,1,100,1090
1715670815.170936,2180721,29030,1,BI,1,100,1100
1715670816.204541,2181707,29204,1,BI,1,100,1030
1715670817.342976,2182793,29380,1,BI,1,100,1130
1715670818.428996,2183829,29553,1,BI,1,100,1080
1715670819.630327,2184975,29753,1,BI,1,100,1200
1715670820.706912,2186002,29926,1,BI,1,100,1070
1715670821.764628,2187011,30081,1,BI,1,100,1050
1715670822.817103,2188015,30257,1,BI,1,100,1050
1715670823.996420,2189140,30448,1,BI,1,100,1170
1715670825.009061,2190106,30621,1,BI,1,100,1010
1715670826.065729,2191114,30772,1,BI,1,100,1050
1715670827.119252,2192119,30945,1,BI,1,100,1050
1715670828.099396,2193054,31122,1,BI,1,100,980
1715670829.228395,2194131,31293,1,BI,1,100,1120
1715670830.331187,2195183,31462,1,BI,1,100,1090
1715670831.303993,2196111,31620,1,BI,1,100,970
1715670832.329213,2197089,31793,1,BI,1,100,1020
1715670833.382736,2198094,31955,1,BI,1,100,1050
1715670834.435211,2199098,32128,1,BI,1,100,1050
1715670835.485589,2200100,32282,1,BI,1,100,1040
1715670836.562175,2201127,32454,1,BI,1,100,1070
1715670837.595780,2202113,32623,1,BI,1,100,1030
1715670838.669221,2203137,32786,1,BI,1,100,1070
1715670839.757338,2204175,32943,1,BI,1,100,1080
1715670840.768929,2205140,33098,1,BI,1,100,1010
1715670841.832936,2206155,33270,1,BI,1,100,1060
1715670843.039508,2207306,33459,1,BI,1,100,1200
1715670843.915872,2208142,33618,1,BI,1,100,880
1715670845.023906,2209199,33757,1,BI,1,100,1100
1715670846.091056,2210217,33929,1,BI,1,100,1060
1715670847.078538,2211159,34081,1,BI,1,100,980
1715670848.165606,2212196,34270,1,BI,1,100,1080
1715670849.301944,2213280,34441,1,BI,1,100,1130
1715670850.347081,2214277,34603,1,BI,1,100,1040
1715670851.351335,2215235,34758,1,BI,1,100,1000
1715670852.480334,2216312,34927,1,BI,1,100,1120
1715670853.481443,2217267,35101,1,BI,1,100,1000
1715670854.594719,2218329,35275,1,BI,1,100,1100
1715670855.570669,2219260,35415,1,BI,1,100,980
1715670856.526702,2220172,35570,1,BI,1,100,950
1715670857.550873,2221149,35724,1,BI,1,100,1020
1715670858.625362,2222174,35898,1,BI,1,100,1070
1715670859.619133,2223122,36070,1,BI,1,100,990
1715670860.770147,2224220,36232,1,BI,1,100,1140
1715670861.824718,2225226,36404,1,BI,1,100,1050
1715670862.794379,2226151,36559,1,BI,1,100,970
1715670863.887737,2227194,36730,1,BI,1,100,1090
1715670864.877315,2228138,36888,1,BI,1,100,980
1715670865.913018,2229126,37046,1,BI,1,100,1030
1715670866.799864,2229972,37182,1,BI,1,100,880
1715670867.851290,2230975,37351,1,BI,1,100,1040
1715670868.481308,2231576,37457,1,BI,1,100,630
1715670869.033752,2232103,37561,1,BI,1,100,560
1715670869.939468,2232967,37681,1,BI,1,100,890
1715670870.818976,2233806,37804,1,BI,1,100,880
1715670872.060142,2234990,38000,1,BI,1,100,1230
1715670872.687015,2235588,38104,1,BI,1,100,630
1715670873.475322,2236340,38227,1,BI,1,100,780
1715670874.516266,2237333,38382,1,BI,1,100,1030
1715670875.361181,2238139,38518,1,BI,1,100,850
1715670876.236497,2238974,38673,1,BI,1,100,870
1715670876.998598,2239701,38769,1,BI,1,100,750
1715670877.468228,2240149,38852,1,BI,1,100,470
1715670879.346749,2241941,39145,1,BI,1,100,1870
1715670881.442264,2243940,39484,1,BI,1,100,2090
1715670882.235814,2244697,39597,1,BI,1,100,780
1715670884.279963,2246647,39923,1,BI,1,100,2030
1715670885.158423,2247485,40059,1,BI,1,100,880
1715670886.196223,2248475,40231,1,BI,1,100,1030
1715670887.161690,2249396,40389,1,BI,1,100,960
1715670888.037005,2250231,40513,1,BI,1,100,870
1715670889.120929,2251265,40684,1,BI,1,100,1080
1715670890.103169,2252202,40840,1,BI,1,100,970
1715670891.044526,2253100,40992,1,BI,1,100,940
1715670892.084422,2254092,41150,1,BI,1,100,1030
1715670893.142138,2255101,41309,1,BI,1,100,1050
1715670894.173647,2256085,41483,1,BI,1,100,1030
1715670895.171612,2257037,41639,1,BI,1,100,990
1715670896.172721,2257992,41808,1,BI,1,100,1000
1715670897.103595,2258880,41949,1,BI,1,100,930
1715670898.086883,2259818,42106,1,BI,1,100,980
