LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1715672180.987810,3483631.000,46403,1,BV,1,100,3.80
1715672185.980776,3488394.000,47194,1,BV,1,100,3.79
1715672190.968501,3493152.000,47984,1,BV,1,100,3.80
1715672195.962516,3497916.000,48781,1,BV,1,100,3.80
1715672200.952337,3502676.000,49557,1,BV,1,100,3.80
1715672205.948448,3507442.000,50337,1,BV,1,100,3.80
1715672210.938270,3512202.000,51122,1,BV,1,100,3.80
1715672215.935429,3516969.000,51897,1,BV,1,100,3.80
1715672220.924202,3521728.000,52708,1,BV,1,100,3.80
1715672225.914024,3526488.000,53484,1,BV,1,100,3.80
1715672230.903845,3531248.000,54282,1,BV,1,100,3.80
1715672235.894715,3536009.000,55072,1,BV,1,100,3.80
1715672240.886633,3540771.000,55848,1,BV,1,100,3.80
1715672245.876455,3545531.000,56634,1,BV,1,100,3.79
1715672250.871518,3550296.000,57414,1,BV,1,100,3.80
1715672255.861339,3555056.000,58207,1,BV,1,100,3.79
1715672260.856402,3559821.000,58997,1,BV,1,100,3.80
1715672265.842030,3564577.000,59757,1,BV,1,100,3.80
1715672270.837093,3569342.000,60531,1,BV,1,100,3.79
1715672275.824818,3574100.000,61306,1,BV,1,100,3.79
1715672280.821978,3578867.000,62098,1,BV,1,100,3.79
1715672285.811799,3583627.000,62877,1,BV,1,100,3.79
1715672290.811055,3588396.000,63686,1,BV,1,100,3.79
1715672295.800877,3593156.000,64476,1,BV,1,100,3.79
1715672300.792795,3597918.000,65253,1,BV,1,100,3.80
1715672305.784713,3602680.000,513,1,BV,1,100,3.79
1715672310.776631,3607442.000,1306,1,BV,1,100,3.79
1715672315.765404,3612201.000,2110,1,BV,1,100,3.79
1715672320.752081,3616958.000,2889,1,BV,1,100,3.79
1715672325.742950,3621719.000,3697,1,BV,1,100,3.79
1715672330.732772,3626479.000,4489,1,BV,1,100,3.79
1715672335.726787,3631243.000,5301,1,BV,1,100,3.78
1715672340.715560,3636002.000,6093,1,BV,1,100,3.79
1715672345.708526,3640765.000,6886,1,BV,1,100,3.79
1715672350.697299,3645524.000,7692,1,BV,1,100,3.79
1715672355.688169,3650285.000,8503,1,BV,1,100,3.79
1715672360.677991,3655045.000,9290,1,BV,1,100,3.79
1715672365.670957,3659808.000,10089,1,BV,1,100,3.79
1715672370.667068,3664574.000,10840,1,BV,1,100,3.79
1715672375.655841,3669333.000,11631,1,BV,1,100,3.79
1715672380.654049,3674101.000,12429,1,BV,1,100,3.79
1715672385.643871,3678861.000,13244,1,BV,1,100,3.79
1715672390.638933,3683626.000,14041,1,BV,1,100,3.79
1715672395.628755,3688386.000,14851,1,BV,1,100,3.79
1715672400.628011,3693155.000,15641,1,BV,1,100,3.79
1715672405.615736,3697913.000,16434,1,BV,1,100,3.79
1715672410.613944,3702681.000,17244,1,BV,1,100,3.78
1715672415.604813,3707442.000,18031,1,BV,1,100,3.78
1715672420.599876,3712207.000,18810,1,BV,1,100,3.79
1715672425.588650,3716966.000,19615,1,BV,1,100,3.79
1715672430.583712,3721731.000,20411,1,BV,1,100,3.78
1715672435.574582,3726492.000,21207,1,BV,1,100,3.79
1715672440.567549,3731255.000,21994,1,BV,1,100,3.79
1715672445.560515,3736018.000,22800,1,BV,1,100,3.79
1715672450.549288,3740777.000,23589,1,BV,1,100,3.79
1715672455.540158,3745538.000,24385,1,BV,1,100,3.79
1715672460.533124,3750301.000,25197,1,BV,1,100,3.79
1715672465.528187,3755066.000,25972,1,BV,1,100,3.79
1715672470.514864,3759823.000,26766,1,BV,1,100,3.79
1715672475.507830,3764586.000,27553,1,BV,1,100,3.79
1715672480.494507,3769343.000,28342,1,BV,1,100,3.79
1715672485.485377,3774104.000,29137,1,BV,1,100,3.79
1715672490.475198,3778864.000,29947,1,BV,1,100,3.79
1715672495.462923,3783622.000,30725,1,BV,1,100,3.78
1715672500.450648,3788380.000,31488,1,BV,1,100,3.79
1715672505.441518,3793141.000,32278,1,BV,1,100,3.79
1715672510.432387,3797902.000,32944,1,BV,1,100,3.79
1715672515.421161,3802661.000,33732,1,BV,1,100,3.79
1715672520.416224,3807426.000,34506,1,BV,1,100,3.79
1715672525.403949,3812184.000,35300,1,BV,1,100,3.79
1715672530.400060,3816950.000,36040,1,BV,1,100,3.79
1715672535.384640,3821705.000,36801,1,BV,1,100,3.79
1715672540.376558,3826467.000,37549,1,BV,1,100,3.78
1715672545.364283,3831225.000,38216,1,BV,1,100,3.78
1715672550.354104,3835985.000,39012,1,BV,1,100,3.79
1715672555.349167,3840750.000,39788,1,BV,1,100,3.78
1715672560.340037,3845511.000,40556,1,BV,1,100,3.78
1715672565.335100,3850276.000,41354,1,BV,1,100,3.78
1715672570.325969,3855037.000,42144,1,BV,1,100,3.78
1715672575.321033,3859802.000,42932,1,BV,1,100,3.78
1715672580.307709,3864559.000,43728,1,BV,1,100,3.78
1715672585.299627,3869321.000,44519,1,BV,1,100,3.78
1715672590.291545,3874083.000,45282,1,BV,1,100,3.78
1715672595.278222,3878840.000,46057,1,BV,1,100,3.78
1715672600.272236,3883604.000,46850,1,BV,1,100,3.78
1715672605.261010,3888363.000,47636,1,BV,1,100,3.77
