LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1715671705.237682,3029793,37976,8,LM,1,100,487139.4938409,2232463.8034706,487139.5146298,14,
1715671705.860362,3030387,38080,8,LM,1,100,487140.0275095,2232464.3371392,487140.0476380,16,
1715671706.504007,3031001,38180,8,LM,1,100,487140.7771087,2232465.0867384,487140.7812402,14,
1715671707.131927,3031600,38285,8,LM,1,100,487141.3438198,2232465.6534410,487141.3478887,16,
1715671707.773476,3032212,38387,8,LM,1,100,487142.0436558,2232466.3532769,487142.0477375,14,
1715671708.393011,3032803,38491,8,LM,1,100,487142.5936783,2232466.9032995,487142.6140612,16,
1715671709.141484,3033517,38610,8,LM,1,100,487143.3771249,2232467.6867535,487143.3811918,15,
1715671710.428774,3034745,38801,8,LM,1,100,487144.6604101,2232468.9700387,487144.6807431,14,
1715671711.018956,3035308,38887,8,LM,1,100,487145.1938342,2232469.5034628,487145.2140339,16,
1715671711.704533,3035962,38991,8,LM,1,100,487145.9603461,2232470.2699902,487145.9807363,14,
1715671712.238108,3036471,39079,8,LM,1,100,487146.5105044,2232470.8201485,487146.5141312,16,
1715671712.980292,3037179,39199,8,LM,1,100,487147.1603207,2232471.4699648,487147.1809534,14,
1715671713.616599,3037786,39303,8,LM,1,100,487147.7270333,2232472.0366383,487147.7475425,16,
1715671714.358783,3038494,39420,8,LM,1,100,487148.5271211,2232472.8367262,487148.5475337,14,
1715671714.771806,3038888,39491,8,LM,1,100,487149.0438717,2232473.3534767,487149.0481046,16,
1715671716.061192,3040118,39681,8,LM,1,100,487149.7604559,2232474.0700517,487149.7811112,15,
1715671716.802327,3040825,39801,8,LM,1,100,487151.0604028,2232475.3699985,487151.0809781,14,
1715671717.326468,3041325,39889,8,LM,1,100,487151.5771234,2232475.8867300,487151.5816812,16,
1715671718.074941,3042039,40007,8,LM,1,100,487152.3105551,2232476.6201617,487152.3148795,14,
1715671718.535137,3042478,40080,8,LM,1,100,487152.8103715,2232477.1199781,487152.8143335,16,
1715671719.375859,3043280,40214,8,LM,1,100,487153.6104791,2232477.9200575,487153.6141210,14,
1715671720.023697,3043898,40317,8,LM,1,100,487154.1938788,2232478.5034572,487154.2142084,16,
1715671720.760640,3044601,40438,8,LM,1,100,487154.8938761,2232479.2034545,487154.9143668,14,
1715671721.408478,3045219,40514,8,LM,1,100,487155.4942281,2232479.8038254,487155.5143044,16,
1715671721.916894,3045704,40603,8,LM,1,100,487156.1604540,2232480.4700513,487156.1808257,14,
1715671722.448373,3046211,40688,8,LM,1,100,487156.6942759,2232481.0038732,487156.7148855,16,
1715671723.203136,3046931,40809,8,LM,1,100,487157.4438021,2232481.7533636,487157.4474104,14,
1715671723.840492,3047539,40912,8,LM,1,100,487158.0272761,2232482.3368376,487158.0474251,16,
1715671724.510344,3048178,41014,8,LM,1,100,487158.7271229,2232483.0366844,487158.7475010,14,
1715671725.105768,3048746,41084,8,LM,1,100,487159.2773255,2232483.5868742,487159.2808723,16,
1715671725.745220,3049356,41188,8,LM,1,100,487159.9773026,2232484.2868513,487159.9810459,15,
1715671727.131048,3050678,41383,8,LM,1,100,487161.2941178,2232485.6036643,487161.3141364,14,
1715671727.576568,3051103,41456,8,LM,1,100,487161.8272723,2232486.1368189,487161.8476392,16,
1715671728.420435,3051908,41589,8,LM,1,100,487162.6439540,2232486.9535005,487162.6473173,14,
1715671729.059887,3052518,41677,8,LM,1,100,487163.1445832,2232487.4541297,487163.1477298,16,
1715671729.632249,3053064,41765,8,LM,1,100,487163.9106597,2232488.2202019,487163.9143078,14,
1715671730.244445,3053648,41867,8,LM,1,100,487164.4439596,2232488.7535018,487164.4473657,16,
1715671730.996063,3054365,41986,8,LM,1,100,487165.1776245,2232489.4871667,487165.1811399,14,
1715671731.487707,3054834,42053,8,LM,1,100,487165.6772980,2232489.9868421,487165.6811418,16,
1715671732.289643,3055599,42168,8,LM,1,100,487166.4940592,2232490.8036033,487166.5142754,14,
1715671732.798060,3056084,42254,8,LM,1,100,487167.0772869,2232491.3868310,487167.0809696,16,
1715671733.516133,3056769,42357,8,LM,1,100,487167.7272324,2232492.0367686,487167.7478907,14,
1715671734.042370,3057271,42443,8,LM,1,100,487168.2606031,2232492.5701393,487168.2811430,16,
1715671734.774071,3057969,42563,8,LM,1,100,487168.9939272,2232493.3034634,487169.0141642,15,
1715671735.283536,3058455,42632,8,LM,1,100,487169.4944237,2232493.8039461,487169.5142961,18,
1715671736.044589,3059181,42751,8,LM,1,100,487170.2943095,2232494.6038320,487170.3143708,14,
1715671736.581309,3059693,42837,8,LM,1,100,487170.8440012,2232495.1535237,487170.8475075,16,
1715671737.411548,3060485,42947,8,LM,1,100,487171.5273246,2232495.8368230,487171.5475348,14,
1715671737.798364,3060854,43001,8,LM,1,100,487172.0774158,2232496.3869142,487172.0811066,16,
1715671738.657955,3061674,43137,8,LM,1,100,487172.8440420,2232497.1535405,487172.8477304,14,
1715671739.282731,3062270,43241,8,LM,1,100,487173.4106610,2232497.7201692,487173.4143021,16,
1715671740.196833,3063142,43293,8,LM,1,100,487174.0941713,2232498.4036795,487174.1144717,14,
1715671740.502931,3063434,43317,8,LM,1,100,487174.6274887,2232498.9369969,487174.6475983,16,
1715671741.207376,3064106,43420,8,LM,1,100,487175.4608171,2232499.7702987,487175.4811374,14,
1715671742.161313,3065016,43574,8,LM,1,100,487176.0107567,2232500.3202382,487176.0144297,16,
1715671742.591109,3065426,43647,8,LM,1,100,487176.7441935,2232501.0536750,487176.7480160,14,
1715671743.008325,3065824,43703,8,LM,1,100,487177.2443700,2232501.5538516,487177.2476989,16,
1715671743.770426,3066551,43822,8,LM,1,100,487178.0441085,2232502.3535917,487178.0477602,15,
1715671745.015785,3067739,44025,8,LM,1,100,487179.2608680,2232503.5703377,487179.2808373,14,
1715671745.560891,3068259,44112,8,LM,1,100,487179.7774863,2232504.0869560,487179.7808301,16,
1715671746.302026,3068966,44232,8,LM,1,100,487180.5607185,2232504.8701882,487180.5812023,14,
1715671746.829312,3069469,44319,8,LM,1,100,487181.0775168,2232505.3869865,487181.0808616,16,
1715671748.015967,3070601,44502,8,LM,1,100,487181.7941046,2232506.1035601,487181.8145471,14,
1715671748.039029,3070623,44505,8,LM,1,100,487182.3116503,2232506.6211058,487182.3145957,16,
1715671748.846206,3071393,44617,8,LM,1,100,487183.0774835,2232507.3869389,487183.0811212,14,
1715671749.306402,3071832,44687,8,LM,1,100,487183.5775550,2232507.8869947,487183.5810185,16,
1715671750.170186,3072656,44822,8,LM,1,100,487184.4274713,2232508.7369110,487184.4483253,14,
1715671750.703762,3073165,44908,8,LM,1,100,487184.9775515,2232509.2869912,487184.9809154,16,
1715671751.438607,3073866,45028,8,LM,1,100,487185.6607849,2232509.9702084,487185.6810437,15,
1715671751.980569,3074383,45115,8,LM,1,100,487186.1941656,2232510.5035891,487186.2142528,18,
1715671752.815001,3075179,45250,8,LM,1,100,487186.9941481,2232511.3035716,487187.0146922,14,
1715671753.369542,3075708,45337,8,LM,1,100,487187.5942398,2232511.9036606,487187.6145453,16,
1715671754.004801,3076314,45429,8,LM,1,100,487188.2440969,2232512.5535177,487188.2477379,14,
1715671754.656832,3076936,45531,8,LM,1,100,487188.8442880,2232513.1537089,487188.8477727,16,
1715671755.374905,3077621,45653,8,LM,1,100,487189.5775803,2232513.8870037,487189.5813535,14,
1715671755.935736,3078156,45739,8,LM,1,100,487190.1609484,2232514.4703718,487190.1812660,16,
1715671756.666389,3078853,45857,8,LM,1,100,487190.8775537,2232515.1869771,487190.8812091,14,
1715671757.293261,3079451,45961,8,LM,1,100,487191.4775661,2232515.7869752,487191.4812776,16,
1715671757.869816,3080001,46049,8,LM,1,100,487192.1442255,2232516.4536346,487192.1478080,14,
1715671758.457902,3080562,46121,8,LM,1,100,487192.6608671,2232516.9702762,487192.6812390,16,
1715671759.233631,3081302,46225,8,LM,1,100,487193.3612135,2232517.6706248,487193.3813915,15,
1715671759.646654,3081696,46295,8,LM,1,100,487193.8775692,2232518.1869805,487193.8814151,18,
1715671760.461169,3082473,46415,8,LM,1,100,487194.6609433,2232518.9703546,487194.6826206,14,
1715671760.999986,3082987,46503,8,LM,1,100,487195.2609601,2232519.5703714,487195.2812288,16,
1715671761.733783,3083687,46620,8,LM,1,100,487195.9609583,2232520.2703570,487195.9817562,14,
1715671762.279938,3084208,46691,8,LM,1,100,487196.4948280,2232520.8042267,487196.5147126,16,
1715671763.033653,3084927,46812,8,LM,1,100,487197.2948250,2232521.6041949,487197.3150597,14,
1715671763.673104,3085537,46914,8,LM,1,100,487197.8108911,2232522.1202610,487197.8151531,16,
1715671764.295784,3086131,47001,8,LM,1,100,487198.4775317,2232522.7869016,487198.4813813,14,
1715671764.833552,3086644,47077,8,LM,1,100,487199.0613867,2232523.3707566,487199.0815297,16,
1715671765.569446,3087346,47194,8,LM,1,100,487199.8443027,2232524.1536576,487199.8487239,14,
1715671766.224622,3087971,47278,8,LM,1,100,487200.3953964,2232524.7047512,487200.4151249,16,
1715671766.890281,3088606,47385,8,LM,1,100,487201.1276252,2232525.4369800,487201.1484841,15,
1715671768.259337,3089912,47588,8,LM,1,100,487202.3776749,2232526.6870298,487202.3813111,14,
1715671768.690181,3090323,47658,8,LM,1,100,487202.8776914,2232527.1870463,487202.8815350,16,
1715671769.433413,3091032,47777,8,LM,1,100,487203.6610273,2232527.9703562,487203.6812062,14,
1715671769.999485,3091572,47853,8,LM,1,100,487204.2444235,2232528.5537524,487204.2485459,16,
1715671770.697641,3092238,47957,8,LM,1,100,487204.9276638,2232529.2369927,487204.9481127,14,
1715671771.237506,3092753,48044,8,LM,1,100,487205.5110836,2232529.8204170,487205.5147281,16,
1715671772.019524,3093499,48165,8,LM,1,100,487206.2444205,2232530.5537539,487206.2484177,14,
1715671772.910564,3094349,48220,8,LM,1,100,487206.8277947,2232531.1371281,487206.8486220,16,
1715671773.675810,3095079,48312,8,LM,1,100,487207.5610484,2232531.8704394,487207.5816027,14,
1715671773.883369,3095277,48348,8,LM,1,100,487208.1276291,2232532.4370200,487208.1480994,16,
1715671774.508145,3095873,48450,8,LM,1,100,487208.7776285,2232533.0870195,487208.7820254,15,
1715671775.042769,3096383,48537,8,LM,1,100,487209.3110650,2232533.6204267,487209.3147049,18,
1715671775.896070,3097197,48657,8,LM,1,100,487210.0949053,2232534.4042670,487210.1155243,14,
1715671776.426501,3097703,48742,8,LM,1,100,487210.6777612,2232534.9871229,487210.6823038,16,
1715671777.169733,3098412,48863,8,LM,1,100,487211.3778454,2232535.6871456,487211.3816047,14,
1715671777.710646,3098928,48950,8,LM,1,100,487211.9610727,2232536.2703729,487211.9822745,16,
1715671778.986405,3100145,49153,8,LM,1,100,487212.6777708,2232536.9870710,487212.6825275,15,
1715671779.011564,3100169,49156,8,LM,1,100,487213.2283720,2232537.5376722,487213.2484829,18,
1715671779.722299,3100847,49276,8,LM,1,100,487213.9444115,2232538.2536987,487213.9484533,14,
1715671780.272647,3101372,49362,8,LM,1,100,487214.4947890,2232538.8040763,487214.5154403,16,
1715671781.036844,3102101,49470,8,LM,1,100,487215.2445365,2232539.5538238,487215.2481061,14,
1715671781.578806,3102618,49557,8,LM,1,100,487215.8445850,2232540.1538645,487215.8486427,16,
1715671782.310507,3103316,49678,8,LM,1,100,487216.5779634,2232540.8872429,487216.5815291,14,
1715671782.971973,3103947,49782,8,LM,1,100,487217.1612706,2232541.4705502,487217.1819687,16,
1715671783.272830,3104234,49833,8,LM,1,100,487217.4810153,2232541.7903101,487217.5151883,11,
1715671887.354636,3203522,290,8,LM,1,100,487321.5962698,2232645.9050887,487321.6167504,21,
1715671888.664988,3204772,498,8,LM,1,100,487322.9289199,2232647.2377388,487322.9498344,25,
1715671889.204853,3205287,582,8,LM,1,100,487323.4623596,2232647.7711579,487323.4829602,28,
1715671889.976388,3206023,702,8,LM,1,100,487324.2457230,2232648.5545213,487324.2492603,25,
1715671890.488998,3206512,786,8,LM,1,100,487324.7457570,2232649.0545553,487324.7495521,28,
