LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1715670641.711742,2015251.000,1764,1,TH,1,100,36.087
1715670641.845922,2015379.000,1781,1,TH,1,100,36.087
1715670641.982199,2015509.000,1813,1,TH,1,100,36.073
1715670642.114282,2015635.000,1829,1,TH,1,100,36.073
1715670642.246366,2015761.000,1846,1,TH,1,100,36.033
1715670642.377401,2015886.000,1863,1,TH,1,100,36.033
1715670642.509484,2016012.000,1896,1,TH,1,100,36.093
1715670642.644713,2016141.000,1914,1,TH,1,100,36.093
1715670642.778893,2016269.000,1930,1,TH,1,100,35.992
1715670642.910976,2016395.000,1947,1,TH,1,100,35.992
1715670643.047253,2016525.000,1979,1,TH,1,100,36.001
1715670643.180385,2016652.000,1997,1,TH,1,100,36.001
1715670643.314565,2016780.000,2015,1,TH,1,100,35.960
1715670643.444552,2016904.000,2031,1,TH,1,100,35.960
1715670643.577683,2017031.000,2048,1,TH,1,100,35.999
1715670643.709767,2017157.000,2067,1,TH,1,100,35.999
1715670643.842899,2017284.000,2100,1,TH,1,100,36.003
1715670643.977079,2017412.000,2118,1,TH,1,100,36.003
1715670644.112307,2017541.000,2134,1,TH,1,100,35.971
1715670644.244391,2017667.000,2151,1,TH,1,100,35.971
1715670644.378571,2017795.000,2183,1,TH,1,100,36.049
1715670644.509606,2017920.000,2199,1,TH,1,100,36.042
1715670644.640641,2018045.000,2217,1,TH,1,100,35.987
1715670644.772725,2018171.000,2233,1,TH,1,100,35.987
1715670644.907953,2018300.000,2265,1,TH,1,100,35.968
1715670645.040037,2018426.000,2282,1,TH,1,100,35.968
1715670645.174217,2018554.000,2298,1,TH,1,100,36.022
1715670645.310493,2018684.000,2316,1,TH,1,100,36.022
1715670645.442577,2018810.000,2347,1,TH,1,100,36.017
1715670645.576757,2018938.000,2364,1,TH,1,100,36.017
1715670645.707792,2019063.000,2381,1,TH,1,100,35.994
1715670645.839876,2019189.000,2397,1,TH,1,100,35.994
1715670645.975104,2019318.000,2429,1,TH,1,100,35.950
1715670646.109284,2019446.000,2448,1,TH,1,100,35.950
1715670646.241368,2019572.000,2464,1,TH,1,100,36.019
1715670646.377644,2019702.000,2482,1,TH,1,100,36.019
1715670646.510776,2019829.000,2513,1,TH,1,100,35.978
1715670646.644956,2019957.000,2530,1,TH,1,100,35.978
1715670646.774943,2020081.000,2547,1,TH,1,100,36.054
1715670646.908075,2020208.000,2563,1,TH,1,100,36.054
1715670647.039110,2020333.000,2597,1,TH,1,100,36.026
1715670647.172242,2020460.000,2614,1,TH,1,100,36.026
1715670647.306422,2020588.000,2631,1,TH,1,100,36.017
1715670647.441650,2020717.000,2648,1,TH,1,100,36.017
1715670647.573734,2020843.000,2680,1,TH,1,100,36.076
1715670647.707914,2020971.000,2696,1,TH,1,100,36.076
1715670647.839998,2021097.000,2713,1,TH,1,100,35.945
1715670647.969984,2021221.000,2730,1,TH,1,100,35.945
