LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1715670599.848607,1975316.000,60903,3,AY,1,100,0.084
1715670599.888442,1975354.000,60920,2,AY,1,100,0.086
1715670599.928277,1975392.000,60920,2,AY,1,100,0.084
1715670599.967412,1975429.333,60937,3,AY,1,100,0.086
1715670600.006548,1975466.667,60937,3,AY,1,100,0.084
1715670600.045684,1975504.000,60937,3,AY,1,100,0.082
1715670600.086567,1975543.000,60953,2,AY,1,100,0.086
1715670600.127450,1975582.000,60953,2,AY,1,100,0.084
1715670600.167634,1975620.333,60968,3,AY,1,100,0.086
1715670600.207819,1975658.667,60968,3,AY,1,100,0.084
1715670600.248003,1975697.000,60968,3,AY,1,100,0.083
1715670600.288187,1975735.333,60986,3,AY,1,100,0.086
1715670600.328371,1975773.667,60986,3,AY,1,100,0.083
1715670600.368555,1975812.000,60986,3,AY,1,100,0.085
1715670600.408390,1975850.000,61002,2,AY,1,100,0.086
1715670600.448224,1975888.000,61002,2,AY,1,100,0.088
1715670600.488758,1975926.667,61019,3,AY,1,100,0.085
1715670600.529292,1975965.333,61019,3,AY,1,100,0.086
1715670600.569825,1976004.000,61019,3,AY,1,100,0.087
1715670600.609660,1976042.000,61035,3,AY,1,100,0.086
1715670600.649494,1976080.000,61035,3,AY,1,100,0.086
1715670600.689329,1976118.000,61035,3,AY,1,100,0.083
1715670600.728640,1976155.500,61053,2,AY,1,100,0.086
1715670600.767950,1976193.000,61053,2,AY,1,100,0.086
1715670600.807086,1976230.333,61069,3,AY,1,100,0.084
1715670600.846222,1976267.667,61069,3,AY,1,100,0.086
1715670600.885358,1976305.000,61069,3,AY,1,100,0.085
1715670600.924843,1976342.667,61086,3,AY,1,100,0.086
1715670600.964329,1976380.333,61086,3,AY,1,100,0.086
1715670601.003814,1976418.000,61086,3,AY,1,100,0.086
1715670601.043648,1976456.000,61103,2,AY,1,100,0.086
1715670601.083483,1976494.000,61103,2,AY,1,100,0.083
1715670601.124017,1976532.667,61118,3,AY,1,100,0.086
1715670601.164550,1976571.333,61118,3,AY,1,100,0.088
1715670601.205084,1976610.000,61118,3,AY,1,100,0.085
1715670601.244919,1976648.000,61134,3,AY,1,100,0.087
1715670601.284753,1976686.000,61134,3,AY,1,100,0.086
1715670601.324588,1976724.000,61134,3,AY,1,100,0.088
1715670601.364947,1976762.500,61152,2,AY,1,100,0.085
1715670601.405306,1976801.000,61152,2,AY,1,100,0.084
1715670601.445140,1976839.000,61168,3,AY,1,100,0.086
1715670601.484975,1976877.000,61168,3,AY,1,100,0.086
1715670601.524810,1976915.000,61168,3,AY,1,100,0.087
1715670601.565343,1976953.667,61187,3,AY,1,100,0.085
1715670601.605877,1976992.333,61187,3,AY,1,100,0.084
1715670601.646410,1977031.000,61187,3,AY,1,100,0.086
1715670601.686455,1977069.200,61210,5,AY,1,100,0.087
1715670601.726499,1977107.400,61210,5,AY,1,100,0.086
1715670601.766544,1977145.600,61210,5,AY,1,100,0.085
1715670601.806588,1977183.800,61210,5,AY,1,100,0.087
1715670601.846632,1977222.000,61210,5,AY,1,100,0.084
1715670601.886118,1977259.667,61226,3,AY,1,100,0.086
1715670601.925603,1977297.333,61226,3,AY,1,100,0.088
1715670601.965088,1977335.000,61226,3,AY,1,100,0.083
1715670602.004574,1977372.667,61244,3,AY,1,100,0.081
1715670602.044059,1977410.333,61244,3,AY,1,100,0.084
1715670602.083544,1977448.000,61244,3,AY,1,100,0.083
1715670602.123379,1977486.000,61260,2,AY,1,100,0.083
1715670602.163213,1977524.000,61260,2,AY,1,100,0.078
1715670602.203398,1977562.333,61276,3,AY,1,100,0.070
1715670602.243582,1977600.667,61276,3,AY,1,100,0.069
1715670602.283766,1977639.000,61276,3,AY,1,100,0.060
1715670602.323601,1977677.000,61292,3,AY,1,100,0.050
1715670602.363435,1977715.000,61292,3,AY,1,100,0.041
1715670602.403270,1977753.000,61292,3,AY,1,100,0.114
1715670602.450443,1977798.000,61309,2,AY,1,100,0.095
1715670602.497615,1977843.000,61309,2,AY,1,100,0.112
1715670602.536926,1977880.500,61325,2,AY,1,100,0.202
1715670602.576236,1977918.000,61325,2,AY,1,100,0.101
1715670602.617120,1977957.000,61343,3,AY,1,100,0.188
1715670602.658002,1977996.000,61343,3,AY,1,100,0.176
1715670602.698885,1978035.000,61343,3,AY,1,100,0.161
1715670602.738720,1978073.000,61357,3,AY,1,100,0.133
1715670602.778555,1978111.000,61357,3,AY,1,100,0.083
1715670602.818390,1978149.000,61357,3,AY,1,100,0.058
1715670602.858748,1978187.500,61374,2,AY,1,100,0.057
1715670602.899107,1978226.000,61374,2,AY,1,100,0.072
1715670602.938593,1978263.667,61391,3,AY,1,100,0.081
1715670602.978078,1978301.333,61391,3,AY,1,100,0.103
