LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1715670887.454161,2249675,40410,4,TX,1,100,2024-05-14_12-44-47-367013,486321.6398773,
1715670888.109337,2250300,40512,4,TX,1,100,2024-05-14_12-44-48-133647,486322.4065110,
1715670888.643960,2250810,40601,4,TX,1,100,2024-05-14_12-44-48-666807,486322.9396708,
1715670889.373565,2251506,40722,4,TX,1,100,2024-05-14_12-44-49-366664,486323.6395283,
1715670889.921816,2252029,40807,4,TX,1,100,2024-05-14_12-44-49-901561,486324.1744241,
1715670890.678676,2252751,40926,4,TX,1,100,2024-05-14_12-44-50-700187,486324.9730511,
1715670891.289824,2253334,41030,4,TX,1,100,2024-05-14_12-44-51-300658,486325.5735223,
1715670891.974352,2253987,41131,4,TX,1,100,2024-05-14_12-44-51-967708,486326.2405724,
1715670892.715487,2254694,41240,4,TX,1,100,2024-05-14_12-44-52-567056,486326.8399206,
1715670893.369615,2255318,41349,4,TX,1,100,2024-05-14_12-44-53-234420,486327.5072841,
1715670893.811990,2255740,41417,4,TX,1,100,2024-05-14_12-44-53-800818,486328.0736824,
1715670894.527966,2256423,41535,4,TX,1,100,2024-05-14_12-44-54-500223,486328.7730868,
1715670895.080411,2256950,41621,4,TX,1,100,2024-05-14_12-44-55-100440,486329.3733040,
1715670895.906457,2257738,41758,4,TX,1,100,2024-05-14_12-44-55-800254,486330.0731180,
1715670896.384474,2258194,41829,4,TX,1,100,2024-05-14_12-44-56-367500,486330.6403637,
1715670897.014491,2258795,41931,4,TX,1,100,2024-05-14_12-44-57-033465,486331.3063287,
1715670897.646605,2259398,42035,4,TX,1,100,2024-05-14_12-44-57-633938,486331.9068024,
1715670898.318553,2260039,42129,4,TX,1,100,2024-05-14_12-44-58-333800,486332.6066644,
1715670898.847936,2260544,42214,4,TX,1,100,2024-05-14_12-44-58-867693,486333.1405566,
1715670899.692851,2261350,42350,4,TX,1,100,2024-05-14_12-44-59-633771,486333.9066355,
1715670900.209654,2261843,42436,4,TX,1,100,2024-05-14_12-45-00-200386,486334.4732505,
1715670900.952886,2262552,42556,4,TX,1,100,2024-05-14_12-45-00-934207,486335.2070714,
1715670901.594434,2263164,42642,4,TX,1,100,2024-05-14_12-45-01-533751,486335.8066152,
1715670902.231790,2263772,42745,4,TX,1,100,2024-05-14_12-45-02-234086,486336.5069497,
1715670902.867049,2264378,42847,4,TX,1,100,2024-05-14_12-45-02-767415,486337.0402795,
1715670903.570446,2265049,42942,4,TX,1,100,2024-05-14_12-45-03-500218,486337.7730824,
1715670904.094586,2265549,43027,4,TX,1,100,2024-05-14_12-45-04-033613,486338.3064775,
1715670904.824191,2266245,43148,4,TX,1,100,2024-05-14_12-45-04-800438,486339.0733023,
1715670905.348331,2266745,43235,4,TX,1,100,2024-05-14_12-45-05-333371,486339.6062352,
1715670906.109384,2267471,43354,4,TX,1,100,2024-05-14_12-45-06-100240,486340.3731039,
1715670906.630380,2267968,43439,4,TX,1,100,2024-05-14_12-45-06-633387,486340.9062516,
1715670907.375709,2268679,43560,4,TX,1,100,2024-05-14_12-45-07-299964,486341.5728279,
1715670907.892511,2269172,43646,4,TX,1,100,2024-05-14_12-45-07-900169,486342.1730331,
1715670908.551881,2269801,43750,4,TX,1,100,2024-05-14_12-45-08-567082,486342.8399462,
1715670909.202864,2270422,43842,4,TX,1,100,2024-05-14_12-45-09-167013,486343.4398773,
1715670909.941902,2271127,43963,4,TX,1,100,2024-05-14_12-45-09-933658,486344.2065218,
1715670910.483864,2271644,44047,4,TX,1,100,2024-05-14_12-45-10-466797,486344.7396607,
1715670911.153716,2272283,44152,4,TX,1,100,2024-05-14_12-45-11-166611,486345.4394755,
1715670912.521724,2273588,44369,4,TX,1,100,2024-05-14_12-45-11-766727,486346.0395913,
1715670912.544786,2273610,44372,4,TX,1,100,2024-05-14_12-45-12-500244,486346.7731079,
1715670913.098279,2274138,44460,4,TX,1,100,2024-05-14_12-45-13-100312,486347.3731761,
1715670913.750310,2274760,44565,4,TX,1,100,2024-05-14_12-45-13-766998,486348.0398624,
1715670914.380328,2275361,44654,4,TX,1,100,2024-05-14_12-45-14-300323,486348.5731876,
1715670915.025021,2275976,44756,4,TX,1,100,2024-05-14_12-45-15-033610,486349.3064743,
1715670915.656087,2276578,44860,4,TX,1,100,2024-05-14_12-45-15-600383,486349.8732471,
1715670916.296587,2277189,44962,4,TX,1,100,2024-05-14_12-45-16-300414,486350.5732785,
1715670916.910880,2277775,45065,4,TX,1,100,2024-05-14_12-45-16-867009,486351.1398730,
1715670917.690802,2278519,45184,4,TX,1,100,2024-05-14_12-45-17-633776,486351.9066402,
1715670918.217039,2279021,45269,4,TX,1,100,2024-05-14_12-45-18-166949,486352.4398131,
1715670918.944547,2279715,45392,4,TX,1,100,2024-05-14_12-45-18-933846,486353.2067099,
1715670919.552550,2280295,45468,4,TX,1,100,2024-05-14_12-45-19-433770,486353.7066337,
1715670920.248609,2280959,45570,4,TX,1,100,2024-05-14_12-45-20-200496,486354.4733605,
1715670920.767509,2281454,45657,4,TX,1,100,2024-05-14_12-45-20-733810,486355.0066746,
1715670921.543237,2282194,45778,4,TX,1,100,2024-05-14_12-45-21-433868,486355.7067326,
1715670922.104068,2282729,45863,4,TX,1,100,2024-05-14_12-45-22-033661,486356.3065253,
1715670922.730941,2283327,45967,4,TX,1,100,2024-05-14_12-45-22-700427,486356.9732915,
1715670923.288627,2283859,46055,4,TX,1,100,2024-05-14_12-45-23-300366,486357.5732298,
1715670924.031858,2284568,46175,4,TX,1,100,2024-05-14_12-45-24-000452,486358.2733161,
1715670925.326487,2285803,46366,4,TX,1,100,2024-05-14_12-45-25-333749,486359.6066135,
1715670925.874738,2286326,46454,4,TX,1,100,2024-05-14_12-45-25-833714,486360.1065776,
1715670926.615873,2287033,46573,4,TX,1,100,2024-05-14_12-45-26-567082,486360.8399463,
1715670927.056152,2287453,46641,4,TX,1,100,2024-05-14_12-45-27-067149,486361.3400133,
1715670928.470284,2288802,46863,4,TX,1,100,2024-05-14_12-45-27-866869,486362.1397330,
1715670928.484960,2288816,46866,4,TX,1,100,2024-05-14_12-45-28-467490,486362.7403543,
1715670929.341406,2289633,47004,4,TX,1,100,2024-05-14_12-45-29-167331,486363.4401955,
1715670929.777491,2290049,47074,4,TX,1,100,2024-05-14_12-45-29-733804,486364.0066678,
1715670930.501854,2290740,47182,4,TX,1,100,2024-05-14_12-45-30-467363,486364.7402273,
1715670931.025995,2291240,47268,4,TX,1,100,2024-05-14_12-45-31-033697,486365.3065608,
1715670931.793337,2291972,47387,4,TX,1,100,2024-05-14_12-45-31-767270,486366.0401338,
1715670932.442224,2292591,47473,4,TX,1,100,2024-05-14_12-45-32-267309,486366.5401732,
1715670932.994668,2293118,47561,4,TX,1,100,2024-05-14_12-45-32-967180,486367.2400438,
1715670934.285103,2294349,47766,4,TX,1,100,2024-05-14_12-45-34-267109,486368.5399730,
1715670934.829161,2294868,47853,4,TX,1,100,2024-05-14_12-45-34-833892,486369.1067561,
1715670935.656256,2295657,47972,4,TX,1,100,2024-05-14_12-45-35-533875,486369.8067390,
1715670936.043072,2296026,48029,4,TX,1,100,2024-05-14_12-45-36-033787,486370.3066508,
1715670936.987574,2296927,48181,4,TX,1,100,2024-05-14_12-45-36-900601,486371.1734649,
1715670937.428900,2297348,48249,4,TX,1,100,2024-05-14_12-45-37-433831,486371.7066947,
1715670938.067304,2297957,48353,4,TX,1,100,2024-05-14_12-45-38-067192,486372.3400566,
1715670938.682645,2298544,48457,4,TX,1,100,2024-05-14_12-45-38-667114,486372.9399785,
1715670939.531754,2299354,48592,4,TX,1,100,2024-05-14_12-45-39-467176,486373.7400402,
1715670940.070570,2299868,48680,4,TX,1,100,2024-05-14_12-45-40-033741,486374.3066050,
1715670940.732036,2300499,48782,4,TX,1,100,2024-05-14_12-45-40-667299,486374.9401636,
1715670941.997312,2301706,48975,4,TX,1,100,2024-05-14_12-45-42-000616,486376.2734802,
1715670942.621040,2302301,49079,4,TX,1,100,2024-05-14_12-45-42-567610,486376.8404738,
1715670943.395720,2303040,49200,4,TX,1,100,2024-05-14_12-45-43-234258,486377.5071218,
