LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1715670616.661999,1991355.000,63461,1,T1,1,100,36.949
1715670616.798276,1991485.000,63493,1,T1,1,100,37.049
1715670616.930360,1991611.000,63509,1,T1,1,100,36.986
1715670617.065588,1991740.000,63527,1,T1,1,100,36.923
1715670617.198720,1991867.000,63558,1,T1,1,100,36.967
1715670617.331851,1991994.000,63577,1,T1,1,100,37.021
1715670617.467080,1992123.000,63594,1,T1,1,100,37.045
1715670617.599163,1992249.000,63610,1,T1,1,100,37.019
1715670617.730199,1992374.000,63628,1,T1,1,100,37.008
1715670617.865427,1992503.000,63659,1,T1,1,100,37.004
1715670617.998559,1992630.000,63676,1,T1,1,100,37.002
1715670618.131691,1992757.000,63693,1,T1,1,100,36.965
1715670618.265871,1992885.000,63709,1,T1,1,100,36.914
1715670618.399002,1993012.000,63741,1,T1,1,100,37.034
1715670618.532134,1993139.000,63760,1,T1,1,100,37.086
1715670618.664218,1993265.000,63777,1,T1,1,100,37.143
1715670618.796301,1993391.000,63796,1,T1,1,100,37.062
1715670618.927336,1993516.000,63828,1,T1,1,100,37.098
1715670619.061517,1993644.000,63844,1,T1,1,100,37.042
1715670619.195697,1993772.000,63861,1,T1,1,100,36.983
1715670619.329877,1993900.000,63878,1,T1,1,100,36.957
1715670619.464057,1994028.000,63911,1,T1,1,100,36.981
1715670619.597188,1994155.000,63929,1,T1,1,100,36.992
1715670619.730320,1994282.000,63945,1,T1,1,100,37.067
1715670619.861356,1994407.000,63962,1,T1,1,100,36.994
1715670619.992391,1994532.000,63979,1,T1,1,100,37.033
1715670620.128667,1994662.000,64010,1,T1,1,100,37.085
1715670620.260751,1994788.000,64027,1,T1,1,100,37.072
1715670620.395979,1994917.000,64044,1,T1,1,100,36.996
1715670620.529111,1995044.000,64061,1,T1,1,100,36.963
1715670620.662243,1995171.000,64095,1,T1,1,100,36.984
1715670620.797471,1995300.000,64111,1,T1,1,100,36.993
1715670620.929555,1995426.000,64128,1,T1,1,100,37.068
