LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1715670625.995901,2000259.000,64828,1,SF,1,100,0.0026
1715670626.329254,2000577.000,64878,1,SF,1,100,0.0025
1715670626.660511,2000893.000,64929,1,SF,1,100,0.0025
1715670626.993865,2001211.000,64978,1,SF,1,100,0.0025
1715670627.395357,2001594.000,65044,1,SF,1,100,0.0024
1715670627.725566,2001909.000,65095,1,SF,1,100,0.0024
1715670628.057871,2002226.000,65144,1,SF,1,100,0.0024
1715670628.324135,2002480.000,65194,1,SF,1,100,0.0024
1715670628.658537,2002799.000,65243,1,SF,1,100,0.0023
1715670628.988745,2003114.000,65295,1,SF,1,100,0.0023
1715670629.324196,2003434.000,65346,1,SF,1,100,0.0023
1715670629.657549,2003752.000,65396,1,SF,1,100,0.0023
1715670630.054848,2004131.000,65461,1,SF,1,100,0.0022
1715670630.388202,2004449.000,65514,1,SF,1,100,0.0022
1715670630.655514,2004704.000,26,1,SF,1,100,0.0022
1715670630.987819,2005021.000,77,1,SF,1,100,0.0021
1715670631.319076,2005337.000,125,1,SF,1,100,0.0021
1715670631.652430,2005655.000,176,1,SF,1,100,0.0021
1715670631.987880,2005975.000,226,1,SF,1,100,0.0021
1715670632.385179,2006354.000,291,1,SF,1,100,0.0021
1715670632.718532,2006672.000,342,1,SF,1,100,0.0020
1715670632.985844,2006927.000,392,1,SF,1,100,0.0020
1715670633.317101,2007243.000,441,1,SF,1,100,0.0020
1715670633.648358,2007559.000,490,1,SF,1,100,0.0020
1715670633.982760,2007878.000,544,1,SF,1,100,0.0019
1715670634.316114,2008196.000,592,1,SF,1,100,0.0019
1715670634.647371,2008512.000,643,1,SF,1,100,0.0019
1715670635.048863,2008895.000,708,1,SF,1,100,0.0019
1715670635.383265,2009214.000,756,1,SF,1,100,0.0018
1715670635.647432,2009466.000,807,1,SF,1,100,0.0018
1715670635.980785,2009784.000,857,1,SF,1,100,0.0018
1715670636.314139,2010102.000,907,1,SF,1,100,0.0018
1715670636.646444,2010419.000,956,1,SF,1,100,0.0018
1715670636.977701,2010735.000,1007,1,SF,1,100,0.0017
1715670637.379193,2011118.000,1072,1,SF,1,100,0.0017
1715670637.712547,2011436.000,1122,1,SF,1,100,0.0017
1715670638.043804,2011752.000,1173,1,SF,1,100,0.0017
1715670638.310067,2012006.000,1223,1,SF,1,100,0.0017
1715670638.646566,2012327.000,1272,1,SF,1,100,0.0016
1715670638.975726,2012641.000,1324,1,SF,1,100,0.0016
1715670639.309080,2012959.000,1375,1,SF,1,100,0.0016
1715670639.710572,2013342.000,1442,1,SF,1,100,0.0016
1715670640.040781,2013657.000,1490,1,SF,1,100,0.0016
1715670640.373086,2013974.000,1541,1,SF,1,100,0.0016
1715670640.640398,2014229.000,1591,1,SF,1,100,0.0015
1715670640.975848,2014549.000,1643,1,SF,1,100,0.0015
1715670641.307105,2014865.000,1692,1,SF,1,100,0.0015
1715670641.638362,2015181.000,1741,1,SF,1,100,0.0015
1715670642.040902,2015565.000,1807,1,SF,1,100,0.0015
1715670642.371111,2015880.000,1856,1,SF,1,100,0.0014
1715670642.704465,2016198.000,1907,1,SF,1,100,0.0014
1715670642.971777,2016453.000,1957,1,SF,1,100,0.0014
1715670643.372220,2016835.000,2008,1,SF,1,100,0.0014
1715670643.703477,2017151.000,2060,1,SF,1,100,0.0014
1715670643.970789,2017406.000,2111,1,SF,1,100,0.0014
1715670644.305191,2017725.000,2161,1,SF,1,100,0.0013
1715670644.635400,2018040.000,2210,1,SF,1,100,0.0013
1715670644.966657,2018356.000,2259,1,SF,1,100,0.0013
1715670645.303155,2018677.000,2309,1,SF,1,100,0.0013
1715670645.635461,2018994.000,2357,1,SF,1,100,0.0013
1715670646.034856,2019375.000,2422,1,SF,1,100,0.0013
1715670646.370306,2019695.000,2475,1,SF,1,100,0.0013
1715670646.637618,2019950.000,2523,1,SF,1,100,0.0012
1715670646.967827,2020265.000,2574,1,SF,1,100,0.0012
1715670647.300132,2020582.000,2624,1,SF,1,100,0.0012
1715670647.634534,2020901.000,2673,1,SF,1,100,0.0012
1715670647.964743,2021216.000,2723,1,SF,1,100,0.0012
1715670648.364138,2021597.000,2788,1,SF,1,100,0.0012
1715670648.698540,2021916.000,2839,1,SF,1,100,0.0012
1715670649.031894,2022234.000,2889,1,SF,1,100,0.0011
1715670649.298157,2022488.000,2938,1,SF,1,100,0.0011
1715670649.631511,2022806.000,2987,1,SF,1,100,0.0011
1715670649.966961,2023126.000,3037,1,SF,1,100,0.0011
1715670650.296122,2023440.000,3087,1,SF,1,100,0.0011
1715670650.628427,2023757.000,3138,1,SF,1,100,0.0011
1715670651.028871,2024139.000,3205,1,SF,1,100,0.0011
1715670651.359080,2024454.000,3255,1,SF,1,100,0.0011
1715670651.625343,2024708.000,3306,1,SF,1,100,0.0010
1715670651.961842,2025029.000,3354,1,SF,1,100,0.0010
1715670652.295195,2025347.000,3403,1,SF,1,100,0.0010
1715670652.626452,2025663.000,3455,1,SF,1,100,0.0010
1715670653.027944,2026046.000,3520,1,SF,1,100,0.0010
1715670653.360250,2026363.000,3569,1,SF,1,100,0.0010
1715670653.689410,2026677.000,3621,1,SF,1,100,0.0010
1715670654.023812,2026996.000,3672,1,SF,1,100,0.0010
1715670654.291124,2027251.000,3722,1,SF,1,100,0.0010
1715670654.622381,2027567.000,3771,1,SF,1,100,0.0009
1715670654.952590,2027882.000,3821,1,SF,1,100,0.0009
1715670655.289088,2028203.000,3872,1,SF,1,100,0.0009
1715670655.688483,2028584.000,3939,1,SF,1,100,0.0009
1715670656.018692,2028899.000,3987,1,SF,1,100,0.0009
1715670656.354142,2029219.000,4038,1,SF,1,100,0.0009
1715670656.621454,2029474.000,4086,1,SF,1,100,0.0009
1715670656.950615,2029788.000,4138,1,SF,1,100,0.0009
1715670657.282920,2030105.000,4187,1,SF,1,100,0.0009
1715670657.617322,2030424.000,4236,1,SF,1,100,0.0008
1715670658.014621,2030803.000,4302,1,SF,1,100,0.0008
1715670658.347975,2031121.000,4351,1,SF,1,100,0.0008
1715670658.682376,2031440.000,4404,1,SF,1,100,0.0008
1715670658.949688,2031695.000,4454,1,SF,1,100,0.0008
1715670659.279897,2032010.000,4503,1,SF,1,100,0.0008
1715670659.613251,2032328.000,4553,1,SF,1,100,0.0008
1715670659.948701,2032648.000,4604,1,SF,1,100,0.0008
1715670660.277861,2032962.000,4652,1,SF,1,100,0.0008
1715670660.677257,2033343.000,4719,1,SF,1,100,0.0008
