LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1715670609.285240,1984318.000,62337,2,EA,1,100,4.319263
1715670609.353379,1984383.000,62337,2,EA,1,100,4.316597
1715670609.418372,1984445.000,62356,1,EA,1,100,4.316597
1715670609.485986,1984509.500,62370,2,EA,1,100,4.316597
1715670609.553600,1984574.000,62370,2,EA,1,100,4.316597
1715670609.619642,1984637.000,62387,1,EA,1,100,4.316597
1715670609.685684,1984700.000,62404,2,EA,1,100,4.319263
1715670609.751726,1984763.000,62404,2,EA,1,100,4.316597
1715670609.816719,1984825.000,62421,2,EA,1,100,4.324624
1715670609.881712,1984887.000,62421,2,EA,1,100,4.316597
1715670609.947754,1984950.000,62436,1,EA,1,100,4.321932
1715670610.013796,1985013.000,62453,2,EA,1,100,4.319263
1715670610.079838,1985076.000,62453,2,EA,1,100,4.311255
1715670610.147976,1985141.000,62469,1,EA,1,100,4.316597
1715670610.214018,1985204.000,62488,2,EA,1,100,4.321932
1715670610.280060,1985267.000,62488,2,EA,1,100,4.316597
1715670610.348198,1985332.000,62505,1,EA,1,100,4.319263
1715670610.414240,1985395.000,62521,2,EA,1,100,4.319263
1715670610.480281,1985458.000,62521,2,EA,1,100,4.319263
1715670610.547896,1985522.500,62536,2,EA,1,100,4.324624
1715670610.615510,1985587.000,62536,2,EA,1,100,4.316597
1715670610.681551,1985650.000,62554,1,EA,1,100,4.321932
1715670610.748642,1985714.000,62570,2,EA,1,100,4.324624
1715670610.815732,1985778.000,62570,2,EA,1,100,4.324624
1715670610.881773,1985841.000,62587,2,EA,1,100,4.327300
1715670610.947815,1985904.000,62587,2,EA,1,100,4.321932
1715670611.013333,1985966.500,62604,2,EA,1,100,4.316597
1715670611.078850,1986029.000,62604,2,EA,1,100,4.324624
1715670611.146465,1986093.500,62621,2,EA,1,100,4.319263
1715670611.214079,1986158.000,62621,2,EA,1,100,4.324624
1715670611.279072,1986220.000,62639,1,EA,1,100,4.321932
1715670611.346686,1986284.500,62655,2,EA,1,100,4.329998
1715670611.414301,1986349.000,62655,2,EA,1,100,4.321932
1715670611.480342,1986412.000,62671,1,EA,1,100,4.327300
1715670611.547956,1986476.500,62688,2,EA,1,100,4.324624
1715670611.615571,1986541.000,62688,2,EA,1,100,4.321932
1715670611.682137,1986604.500,62705,2,EA,1,100,4.319263
1715670611.748703,1986668.000,62705,2,EA,1,100,4.327300
1715670611.814744,1986731.000,62721,1,EA,1,100,4.313915
1715670611.881310,1986794.500,62736,2,EA,1,100,4.327300
1715670611.947876,1986858.000,62736,2,EA,1,100,4.329998
1715670612.013918,1986921.000,62754,1,EA,1,100,4.324624
1715670612.079960,1986984.000,62770,2,EA,1,100,4.316597
